sales_key,date_key,customer_key,store_key,product_key,quantity,unit_price,item_discount,line_total,promotion
143,20260809,192,6,16,4,505.66,25.28,1921.51,0.00
144,20260623,121,23,34,5,340.25,0.00,1701.25,0.00
145,20260814,54,21,17,2,4838.04,0.00,9676.08,0.00
146,20260131,62,14,33,4,529.26,52.93,1905.34,0.00
147,20260405,177,6,9,1,278.18,13.91,264.27,0.00
148,20261206,39,10,2,3,3061.98,0.00,9185.94,0.00
149,20260725,140,16,12,1,269.11,0.00,269.11,0.00
150,20261229,190,18,29,3,807.07,40.35,2300.15,0.00
151,20261016,41,11,31,1,2187.92,328.19,1859.73,0.00
152,20260912,123,22,20,4,41369.75,6205.46,140657.15,0.00
153,20260122,161,7,26,5,4860.09,243.00,23085.43,0.00
154,20260421,110,3,30,1,608.05,0.00,608.05,0.00
155,20261204,82,6,16,4,505.66,25.28,1921.51,0.00
156,20260223,2,24,17,4,4838.04,725.71,16449.34,0.00
157,20261016,103,17,24,3,19390.95,0.00,58172.85,0.00
158,20261205,2,1,5,5,2603.90,130.20,12368.52,0.00
159,20261215,189,5,37,4,157.45,7.87,598.31,0.00
160,20260928,123,7,28,4,3150.34,157.52,11971.29,0.00
161,20261021,196,18,21,4,8200.26,410.01,31160.99,0.00
162,20260331,10,2,18,2,57972.29,0.00,115944.58,0.00
163,20261119,170,16,28,2,3150.34,315.03,5670.61,0.00
164,20260112,53,22,35,2,250.64,25.06,451.15,0.00
165,20260531,82,2,19,1,18972.21,948.61,18023.60,0.00
166,20261027,134,13,31,2,2187.92,218.79,3938.26,0.00
167,20261103,8,4,17,3,4838.04,483.80,13062.71,0.00
168,20260923,117,23,20,1,41369.75,4136.98,37232.78,0.00
169,20260619,35,23,27,1,4721.70,0.00,4721.70,0.00
170,20260203,135,5,27,1,4721.70,236.08,4485.62,0.00
171,20261208,70,17,26,2,4860.09,243.00,9234.17,0.00
172,20260211,68,2,25,5,2914.87,145.74,13845.63,0.00
173,20260914,52,19,4,3,703.29,35.16,2004.38,0.00
174,20260606,122,22,17,3,4838.04,483.80,13062.71,0.00
175,20261222,61,1,30,5,608.05,0.00,3040.25,0.00
176,20261201,33,23,6,3,572.05,28.60,1630.34,0.00
177,20260505,133,1,33,2,529.26,52.93,952.67,0.00
178,20260519,63,6,26,3,4860.09,486.01,13122.24,0.00
179,20260707,4,22,4,4,703.29,105.49,2391.19,0.00
180,20261016,34,18,38,3,1104.26,0.00,3312.78,0.00
181,20260327,178,2,16,5,505.66,0.00,2528.30,0.00
182,20260812,48,23,8,1,1136.39,0.00,1136.39,0.00
183,20261003,164,23,30,1,608.05,30.40,577.65,0.00
184,20260319,75,10,28,1,3150.34,472.55,2677.79,0.00
185,20260102,84,13,9,3,278.18,0.00,834.54,0.00
186,20260123,94,23,23,3,16268.02,0.00,48804.06,0.00
187,20261127,74,3,10,1,373.96,0.00,373.96,0.00
188,20260113,175,20,9,3,278.18,27.82,751.09,0.00
189,20260524,68,6,31,5,2187.92,0.00,10939.60,0.00
190,20260304,177,14,3,3,1046.07,0.00,3138.21,0.00
191,20260523,189,3,34,5,340.25,17.01,1616.19,0.00
192,20261215,74,20,30,3,608.05,60.80,1641.74,0.00
193,20260727,67,16,17,3,4838.04,0.00,14514.12,0.00
194,20260929,185,8,32,2,4212.19,210.61,8003.16,0.00
195,20260915,102,20,24,1,19390.95,1939.10,17451.86,0.00
196,20261125,183,18,32,3,4212.19,0.00,12636.57,0.00
197,20260609,174,5,34,3,340.25,17.01,969.71,0.00
198,20261117,145,24,24,5,19390.95,0.00,96954.75,0.00
199,20261124,140,11,28,2,3150.34,157.52,5985.65,0.00
200,20260814,53,15,25,2,2914.87,145.74,5538.25,0.00
201,20260607,114,22,35,3,250.64,12.53,714.32,0.00
202,20260904,56,21,20,2,41369.75,0.00,82739.50,0.00
203,20260525,75,4,2,4,3061.98,306.20,11023.13,0.00
204,20261029,129,7,29,4,807.07,0.00,3228.28,0.00
205,20261128,73,8,20,1,41369.75,0.00,41369.75,0.00
206,20260829,113,15,39,1,1191.21,0.00,1191.21,0.00
207,20260603,166,1,5,1,2603.90,0.00,2603.90,0.00
208,20260112,121,10,10,5,373.96,0.00,1869.80,0.00
209,20260111,111,14,6,1,572.05,0.00,572.05,0.00
210,20260124,47,6,4,4,703.29,35.16,2672.50,0.00
211,20261213,43,13,22,5,3028.92,454.34,12872.91,0.00
212,20260412,60,1,4,1,703.29,0.00,703.29,0.00
213,20260508,37,5,8,1,1136.39,0.00,1136.39,0.00
214,20260302,172,23,39,1,1191.21,59.56,1131.65,0.00
215,20260524,132,5,10,2,373.96,0.00,747.92,0.00
216,20260827,166,24,22,2,3028.92,302.89,5452.06,0.00
217,20260702,109,2,2,3,3061.98,153.10,8726.64,0.00
218,20261227,33,5,19,5,18972.21,948.61,90118.00,0.00
219,20260723,64,10,15,5,494.31,24.72,2347.97,0.00
220,20261108,190,9,3,3,1046.07,52.30,2981.30,0.00
221,20261114,80,19,4,1,703.29,70.33,632.96,0.00
222,20261225,139,8,27,3,4721.70,236.08,13456.84,0.00
223,20260101,161,17,23,5,16268.02,813.40,77273.10,0.00
224,20260621,123,19,33,5,529.26,26.46,2513.98,0.00
225,20261228,34,7,18,4,57972.29,8695.84,197105.79,0.00
226,20260922,191,15,29,4,807.07,40.35,3066.87,0.00
227,20260123,152,13,28,4,3150.34,315.03,11341.22,0.00
228,20260622,19,2,1,5,1810.89,181.09,8149.01,0.00
229,20260701,138,7,18,3,57972.29,0.00,173916.87,0.00
230,20260103,111,6,29,4,807.07,40.35,3066.87,0.00
231,20260507,58,22,17,5,4838.04,0.00,24190.20,0.00
232,20261114,180,23,26,3,4860.09,0.00,14580.27,0.00
233,20261129,6,9,9,3,278.18,0.00,834.54,0.00
234,20261008,169,7,31,3,2187.92,109.40,6235.57,0.00
235,20260310,23,10,35,1,250.64,12.53,238.11,0.00
236,20260606,26,2,23,4,16268.02,813.40,61818.48,0.00
237,20261224,129,4,10,4,373.96,18.70,1421.05,0.00
238,20260909,29,2,16,1,505.66,50.57,455.09,0.00
239,20261203,175,10,11,2,508.89,25.44,966.89,0.00
240,20260123,138,11,9,2,278.18,27.82,500.72,0.00
241,20260413,72,7,12,3,269.11,26.91,726.60,0.00
242,20260914,17,9,39,4,1191.21,178.68,4050.11,0.00
243,20260225,26,7,36,1,1192.53,119.25,1073.28,0.00
244,20260613,167,22,31,3,2187.92,109.40,6235.57,0.00
245,20260227,59,12,14,1,199.76,0.00,199.76,0.00
246,20260105,102,3,28,3,3150.34,0.00,9451.02,0.00
247,20261129,88,23,33,1,529.26,52.93,476.33,0.00
248,20260120,15,13,25,5,2914.87,291.49,13116.92,0.00
249,20260305,154,7,40,1,633.93,95.09,538.84,0.00
250,20260705,29,1,15,3,494.31,24.72,1408.78,0.00
251,20260314,154,13,26,5,4860.09,486.01,21870.40,0.00
252,20261222,59,24,22,2,3028.92,454.34,5149.16,0.00
253,20260312,52,3,4,5,703.29,0.00,3516.45,0.00
254,20260322,139,2,20,3,41369.75,2068.49,117903.79,0.00
255,20260817,35,12,21,4,8200.26,0.00,32801.04,0.00
256,20260503,6,9,6,4,572.05,28.60,2173.79,0.00
257,20260109,61,15,15,5,494.31,49.43,2224.40,0.00
258,20261226,151,14,26,5,4860.09,729.01,20655.38,0.00
259,20261003,61,12,11,4,508.89,25.44,1933.78,0.00
260,20260417,145,16,38,5,1104.26,0.00,5521.30,0.00
261,20260402,186,23,30,1,608.05,30.40,577.65,0.00
262,20260908,110,2,6,3,572.05,57.20,1544.54,0.00
263,20260410,110,20,13,2,392.05,0.00,784.10,0.00
264,20260408,24,23,10,3,373.96,0.00,1121.88,0.00
265,20260109,134,9,32,1,4212.19,0.00,4212.19,0.00
266,20260729,148,17,33,4,529.26,26.46,2011.19,0.00
267,20260529,17,14,9,1,278.18,13.91,264.27,0.00
268,20260727,75,8,13,4,392.05,0.00,1568.20,0.00
269,20260309,128,12,23,1,16268.02,813.40,15454.62,0.00
270,20260307,13,3,32,2,4212.19,210.61,8003.16,0.00
271,20260506,175,15,36,4,1192.53,0.00,4770.12,0.00
272,20260616,6,24,11,3,508.89,25.44,1450.34,0.00
273,20261204,84,23,30,1,608.05,0.00,608.05,0.00
274,20260728,1,22,6,3,572.05,0.00,1716.15,0.00
275,20261214,143,2,10,2,373.96,18.70,710.52,0.00
276,20260509,91,3,3,5,1046.07,0.00,5230.35,0.00
277,20260624,54,2,7,2,3413.55,341.36,6144.39,0.00
278,20260108,114,1,3,4,1046.07,52.30,3975.07,0.00
279,20260913,186,2,7,3,3413.55,512.03,8704.55,0.00
280,20260806,139,2,14,1,199.76,0.00,199.76,0.00
281,20261116,57,13,35,5,250.64,12.53,1190.54,0.00
282,20261008,62,5,23,4,16268.02,0.00,65072.08,0.00
283,20260303,50,4,7,5,3413.55,341.36,15360.98,0.00
284,20260822,61,1,30,1,608.05,30.40,577.65,0.00
285,20260405,31,22,9,4,278.18,27.82,1001.45,0.00
286,20260817,181,16,22,3,3028.92,302.89,8178.08,0.00
287,20260703,184,11,30,1,608.05,0.00,608.05,0.00
288,20261017,53,23,36,4,1192.53,59.63,4531.61,0.00
289,20260614,40,2,22,3,3028.92,151.45,8632.42,0.00
290,20261120,100,19,3,1,1046.07,104.61,941.46,0.00
291,20261207,105,24,14,2,199.76,0.00,399.52,0.00
292,20260428,9,7,27,1,4721.70,472.17,4249.53,0.00
293,20261008,20,15,27,1,4721.70,0.00,4721.70,0.00
294,20260224,70,10,39,1,1191.21,0.00,1191.21,0.00
295,20260511,136,5,9,5,278.18,0.00,1390.90,0.00
296,20260304,3,10,6,3,572.05,0.00,1716.15,0.00
297,20260415,34,22,2,5,3061.98,306.20,13778.91,0.00
298,20260602,154,18,29,5,807.07,80.71,3631.82,0.00
299,20260207,199,23,36,5,1192.53,119.25,5366.38,0.00
300,20260812,143,20,32,5,4212.19,0.00,21060.95,0.00
301,20261112,86,8,33,1,529.26,52.93,476.33,0.00
302,20261121,102,13,34,2,340.25,0.00,680.50,0.00
303,20260926,151,16,6,1,572.05,85.81,486.24,0.00
304,20260628,57,22,1,5,1810.89,90.54,8601.73,0.00
305,20260729,143,8,23,1,16268.02,2440.20,13827.82,0.00
306,20260124,200,21,10,1,373.96,37.40,336.56,0.00
307,20260206,69,19,35,5,250.64,37.60,1065.22,0.00
308,20260208,70,13,9,2,278.18,0.00,556.36,0.00
309,20261212,192,5,34,3,340.25,0.00,1020.75,0.00
310,20261126,118,22,10,2,373.96,18.70,710.52,0.00
311,20260226,96,5,10,3,373.96,18.70,1065.79,0.00
312,20261219,3,14,31,5,2187.92,218.79,9845.64,0.00
313,20260918,123,3,32,1,4212.19,0.00,4212.19,0.00
314,20260331,99,17,15,3,494.31,49.43,1334.64,0.00
315,20261101,103,12,23,1,16268.02,813.40,15454.62,0.00
316,20261104,165,6,29,2,807.07,80.71,1452.73,0.00
317,20260910,150,22,14,3,199.76,19.98,539.35,0.00
318,20261122,182,15,10,3,373.96,18.70,1065.79,0.00
319,20260509,112,7,2,5,3061.98,153.10,14544.40,0.00
320,20260920,100,22,15,3,494.31,0.00,1482.93,0.00
321,20260410,10,10,27,4,4721.70,236.08,17942.46,0.00
322,20260605,63,22,24,2,19390.95,0.00,38781.90,0.00
323,20260602,105,6,31,1,2187.92,218.79,1969.13,0.00
324,20260211,11,24,9,3,278.18,27.82,751.09,0.00
325,20260806,167,19,21,5,8200.26,820.03,36901.17,0.00
326,20260719,42,3,16,4,505.66,50.57,1820.38,0.00
327,20260824,100,6,24,1,19390.95,1939.10,17451.86,0.00
328,20260318,182,20,15,4,494.31,49.43,1779.52,0.00
329,20260812,117,20,8,3,1136.39,0.00,3409.17,0.00
330,20260202,135,17,35,4,250.64,12.53,952.43,0.00
331,20260516,154,24,21,1,8200.26,410.01,7790.25,0.00
332,20260208,154,8,23,5,16268.02,0.00,81340.10,0.00
333,20261018,164,21,35,2,250.64,0.00,501.28,0.00
334,20260709,22,7,31,4,2187.92,109.40,8314.10,0.00
335,20260906,197,5,1,5,1810.89,271.63,7696.28,0.00
336,20260531,8,23,11,3,508.89,25.44,1450.34,0.00
337,20260306,7,20,29,2,807.07,40.35,1533.43,0.00
338,20260707,178,21,22,4,3028.92,302.89,10904.11,0.00
339,20260217,36,19,39,2,1191.21,59.56,2263.30,0.00
340,20261113,153,21,32,4,4212.19,421.22,15163.88,0.00
341,20260614,196,13,20,4,41369.75,2068.49,157205.05,0.00
342,20260706,58,3,23,2,16268.02,0.00,32536.04,0.00
343,20260306,200,21,7,2,3413.55,0.00,6827.10,0.00
344,20261002,185,10,16,5,505.66,25.28,2401.89,0.00
345,20261115,135,7,40,2,633.93,0.00,1267.86,0.00
346,20260731,166,17,22,1,3028.92,0.00,3028.92,0.00
347,20260221,105,3,15,2,494.31,0.00,988.62,0.00
348,20260214,106,10,16,4,505.66,0.00,2022.64,0.00
349,20260917,18,15,27,2,4721.70,0.00,9443.40,0.00
350,20260224,32,21,4,4,703.29,0.00,2813.16,0.00
351,20261118,108,17,20,4,41369.75,2068.49,157205.05,0.00
352,20261120,51,20,32,1,4212.19,421.22,3790.97,0.00
353,20261126,144,13,40,2,633.93,63.39,1141.07,0.00
354,20260811,181,9,32,2,4212.19,0.00,8424.38,0.00
355,20260123,46,12,24,2,19390.95,1939.10,34903.71,0.00
356,20260626,49,21,35,2,250.64,0.00,501.28,0.00
357,20261104,18,7,2,5,3061.98,306.20,13778.91,0.00
358,20260515,70,21,5,1,2603.90,260.39,2343.51,0.00
359,20261227,140,14,11,1,508.89,50.89,458.00,0.00
360,20260215,162,9,17,5,4838.04,0.00,24190.20,0.00
361,20260613,13,10,28,5,3150.34,315.03,14176.53,0.00
362,20260721,173,5,1,5,1810.89,181.09,8149.01,0.00
363,20260422,32,5,34,4,340.25,0.00,1361.00,0.00
364,20260728,124,21,23,3,16268.02,2440.20,41483.45,0.00
365,20260109,78,15,24,2,19390.95,969.55,36842.80,0.00
366,20260821,83,8,37,3,157.45,7.87,448.73,0.00
367,20260512,48,15,29,3,807.07,40.35,2300.15,0.00
368,20260705,8,2,33,5,529.26,0.00,2646.30,0.00
369,20261015,146,15,28,2,3150.34,0.00,6300.68,0.00
370,20260422,51,12,28,4,3150.34,315.03,11341.22,0.00
371,20261003,126,21,13,4,392.05,19.60,1489.79,0.00
372,20260817,6,23,15,5,494.31,74.15,2100.82,0.00
373,20261231,195,2,26,5,4860.09,0.00,24300.45,0.00
374,20261002,117,5,20,4,41369.75,2068.49,157205.05,0.00
375,20260227,106,7,12,1,269.11,0.00,269.11,0.00
376,20260123,17,24,15,4,494.31,24.72,1878.38,0.00
377,20260906,68,10,38,4,1104.26,0.00,4417.04,0.00
378,20260529,193,4,4,2,703.29,35.16,1336.25,0.00
379,20260805,170,5,26,5,4860.09,243.00,23085.43,0.00
380,20260713,142,10,18,3,57972.29,5797.23,156525.18,0.00
381,20261222,190,15,38,1,1104.26,165.64,938.62,0.00
382,20260112,52,10,33,1,529.26,0.00,529.26,0.00
383,20261225,21,2,28,3,3150.34,315.03,8505.92,0.00
384,20260928,103,2,27,2,4721.70,0.00,9443.40,0.00
385,20260707,86,11,19,3,18972.21,948.61,54070.80,0.00
386,20260502,180,6,40,1,633.93,0.00,633.93,0.00
387,20260928,85,1,21,1,8200.26,410.01,7790.25,0.00
388,20260213,100,22,27,4,4721.70,236.08,17942.46,0.00
389,20260324,174,19,2,1,3061.98,153.10,2908.88,0.00
390,20260618,136,20,15,1,494.31,0.00,494.31,0.00
391,20260825,52,5,26,4,4860.09,486.01,17496.32,0.00
392,20260321,143,19,25,3,2914.87,437.23,7432.92,0.00
393,20260602,110,18,23,1,16268.02,1626.80,14641.22,0.00
394,20260911,102,11,16,5,505.66,0.00,2528.30,0.00
395,20260224,108,1,38,2,1104.26,55.21,2098.09,0.00
396,20260619,93,10,32,3,4212.19,0.00,12636.57,0.00
397,20261026,133,21,26,1,4860.09,243.00,4617.09,0.00
398,20260603,2,24,18,3,57972.29,5797.23,156525.18,0.00
399,20260116,152,8,37,2,157.45,23.62,267.66,0.00
400,20261223,26,14,21,4,8200.26,0.00,32801.04,0.00
401,20260906,102,20,6,5,572.05,0.00,2860.25,0.00
402,20260616,167,10,2,4,3061.98,0.00,12247.92,0.00
403,20261028,79,20,30,2,608.05,0.00,1216.10,0.00
404,20260625,146,18,6,2,572.05,57.20,1029.69,0.00
405,20260529,136,8,28,2,3150.34,157.52,5985.65,0.00
406,20260331,41,5,18,3,57972.29,5797.23,156525.18,0.00
407,20260920,140,9,26,3,4860.09,486.01,13122.24,0.00
408,20260311,72,9,24,3,19390.95,969.55,55264.21,0.00
409,20260627,125,7,17,3,4838.04,483.80,13062.71,0.00
410,20260625,157,9,40,3,633.93,31.70,1806.70,0.00
411,20260202,31,22,32,4,4212.19,210.61,16006.32,0.00
412,20260315,192,23,24,4,19390.95,1939.10,69807.42,0.00
413,20260604,28,14,12,1,269.11,0.00,269.11,0.00
414,20260524,136,4,27,2,4721.70,236.08,8971.23,0.00
415,20260514,1,9,34,2,340.25,51.04,578.42,0.00
416,20261124,127,19,5,5,2603.90,260.39,11717.55,0.00
417,20260221,83,15,38,1,1104.26,55.21,1049.05,0.00
418,20260923,14,18,17,3,4838.04,0.00,14514.12,0.00
419,20260527,12,5,40,5,633.93,95.09,2694.20,0.00
420,20261028,163,12,7,3,3413.55,0.00,10240.65,0.00
421,20261211,58,6,38,1,1104.26,0.00,1104.26,0.00
422,20260708,105,2,14,2,199.76,0.00,399.52,0.00
423,20260501,2,19,20,3,41369.75,0.00,124109.25,0.00
424,20261207,169,8,28,2,3150.34,157.52,5985.65,0.00
425,20260327,200,11,34,3,340.25,0.00,1020.75,0.00
426,20261209,64,1,15,4,494.31,74.15,1680.65,0.00
427,20260318,120,3,24,4,19390.95,0.00,77563.80,0.00
428,20260325,84,8,7,5,3413.55,0.00,17067.75,0.00
429,20261111,200,12,3,1,1046.07,104.61,941.46,0.00
430,20261125,53,22,22,5,3028.92,151.45,14387.37,0.00
431,20261013,22,3,30,4,608.05,91.21,2067.37,0.00
432,20260608,145,11,26,4,4860.09,486.01,17496.32,0.00
433,20260708,149,19,31,3,2187.92,0.00,6563.76,0.00
434,20261118,104,11,31,4,2187.92,0.00,8751.68,0.00
435,20260318,160,23,8,3,1136.39,0.00,3409.17,0.00
436,20260319,194,10,32,2,4212.19,0.00,8424.38,0.00
437,20261203,119,23,3,4,1046.07,52.30,3975.07,0.00
438,20260824,124,1,7,3,3413.55,170.68,9728.62,0.00
439,20260616,127,6,34,5,340.25,34.02,1531.12,0.00
440,20260302,101,23,1,2,1810.89,90.54,3440.69,0.00
441,20260430,10,19,33,2,529.26,26.46,1005.59,0.00
442,20260204,166,14,9,5,278.18,0.00,1390.90,0.00
